Gene	Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-48-Fraction-01	Grad-48-Fraction-02	Grad-48-Fraction-03	Grad-48-Fraction-04	Grad-48-Fraction-05	Grad-48-Fraction-06	Grad-48-Fraction-07	Grad-48-Fraction-08	Grad-48-Fraction-09	Grad-48-Fraction-10	Grad-48-Fraction-11	Grad-48-Fraction-12	Grad-48-Fraction-13	Grad-48-Fraction-14	Grad-48-Fraction-15	Grad-48-Fraction-16	Grad-48-Fraction-17	Grad-48-Fraction-18	Grad-48-Fraction-19	Grad-48-Fraction-20	Grad-48-Fraction-21P	Cluster_label
rhmR	sense	NC_000913.3	RefSeq	CDS	2361429	2362211	.	-	0	ID=cds2231;Parent=gene2304;Dbxref=ASAP:ABE-0007438,UniProtKB/Swiss-Prot:P77732,Genbank:NP_416751.1,EcoGene:EG14086,GeneID:944752;Name=NP_416751.1;Note=putative regulator;Ontology_term=GO:0006350,GO:0006355;gbkey=CDS;gene=rhmR;go_process=transcription|0006350||,regulation of transcription%2C DNA-dependent|0006355||;product=putative DNA-binding transcriptional regulator for the rhm operon;protein_id=NP_416751.1;transl_table=11	0.00046558338136554346	0.0014304408188235498	0.02566608684501271	0.030138029399479207	0.036131760972974616	0.08583203411034884	0.007394362958151102	0.0010237170727414482	0.0603756997027167	0.12973729981998264	0.045904184333694746	0.052792124681264735	0.026247626433512986	0.057744089153134164	0.0339795196917414	0.043565310904726116	0.03608994703663728	0.0638269817346898	0.0405887989795585	0.019311178486858517	1.0	0
yfaY	sense	NC_000913.3	RefSeq	CDS	2362431	2363633	.	-	0	ID=cds2232;Parent=gene2305;Dbxref=ASAP:ABE-0007441,UniProtKB/Swiss-Prot:P77808,Genbank:NP_416752.1,EcoGene:EG14087,GeneID:945478;Name=NP_416752.1;gbkey=CDS;gene=yfaY;product=inactive PncC family protein;protein_id=NP_416752.1;transl_table=11	0.0006826560189797037	0.005519385796103729	0.02456021686519544	0.032948327960845424	0.03903624336630057	0.05720462957369055	0.010956020743138357	0.002291019558289544	0.06522905176885148	0.07286424984530644	0.059434356564955264	0.044474394426017236	0.028357564249711774	0.021937897833097717	0.02921895308357368	0.025935067952469026	0.02993957021045795	0.045885432122010884	0.024405483630795637	0.015017151907663413	1.0	0
yfaZ	sense	NC_000913.3	RefSeq	CDS	2363733	2364275	.	-	0	ID=cds2233;Parent=gene2306;Dbxref=ASAP:ABE-0007445,UniProtKB/Swiss-Prot:P76471,Genbank:NP_416753.4,EcoGene:EG14088,GeneID:946739;Name=NP_416753.4;Ontology_term=GO:0009274,GO:0009279;gbkey=CDS;gene=yfaZ;go_component=peptidoglycan-based cell wall|0009274||,cell outer membrane|0009279||;product=outer membrane protein%2C putative porin;protein_id=NP_416753.4;transl_table=11	0.0024831113672828986	0.019072544250980667	0.041065738952020335	0.13394679733101866	0.15140928407722698	0.1872698926043975	0.039436602443472565	0.002729912193977196	0.14087663263967232	0.2883051107110725	0.3128285154592531	0.18770533220005245	0.09332489398582396	0.08291458955321827	0.11650121037168484	0.06638523566434458	0.04811992938218305	0.1074980745005302	0.054118398639411334	0.03763204012823712	1.0	3
nudI	sense	NC_000913.3	RefSeq	CDS	2364554	2364979	.	+	0	ID=cds2234;Parent=gene2307;Dbxref=ASAP:ABE-0007449,UniProtKB/Swiss-Prot:P52006,Genbank:NP_416754.1,EcoGene:EG13275,GeneID:946740;Name=NP_416754.1;gbkey=CDS;gene=nudI;product=nucleoside triphosphatase;protein_id=NP_416754.1;transl_table=11	0.0007344413903231108	0.0029011757452195946	0.019665283441812557	0.024902784855907696	0.0174479328642131	0.019342430222050448	0.007665142446759455	0.001845574440998668	0.047620270188058235	0.04060635362127783	0.04827482296125645	0.03569045048874237	0.025631484967937563	0.02001961920802051	0.030629426201006338	0.03506262447060453	0.035581637923445215	0.062076352880587875	0.03315704705372385	0.019750544411261586	1.0	0
arnA	sense	NC_000913.3	RefSeq	CDS	2368039	2370021	.	+	0	ID=cds2238;Parent=gene2311;Dbxref=ASAP:ABE-0007460,UniProtKB/Swiss-Prot:P77398,Genbank:NP_416758.1,EcoGene:EG14091,GeneID:947683;Name=NP_416758.1;Note=putative transformylase;experiment=N-terminus verified by Edman degradation: PMID 11248028;gbkey=CDS;gene=arnA;product=fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase;protein_id=NP_416758.1;transl_table=11	0.004704842590641283	0.032523707038514406	0.025936256180223376	0.2791733249635969	0.2868807487779039	0.2365514432897653	0.0709858843982506	0.012931163024102509	0.43851823994604777	0.4734273396939718	0.18039539106574784	0.30008155081982074	0.12156795400784964	0.10099371058361926	0.11036956772054354	0.06289127589253697	0.0911746030399258	0.11881366129005973	0.03418004124594401	0.020640287937371053	1.0	4
arnD	sense	NC_000913.3	RefSeq	CDS	2370018	2370908	.	+	0	ID=cds2239;Parent=gene2312;Dbxref=ASAP:ABE-0007462,UniProtKB/Swiss-Prot:P76472,Genbank:NP_416759.1,EcoGene:EG14092,GeneID:945334;Name=NP_416759.1;gbkey=CDS;gene=arnD;product=undecaprenyl phosphate-alpha-L-ara4FN deformylase;protein_id=NP_416759.1;transl_table=11	0.004469600461109218	0.0343305796517652	0.12319721685606105	0.3616563527937503	0.2973127760061912	0.2621778496461565	0.08518306127790072	0.01474152584747686	0.25357793875141016	0.20757967971197228	0.3427512430249208	0.1267010992350354	0.2309791126149143	0.10660447228270922	0.13980145244602182	0.0896200681468652	0.2598476186637884	0.2579953788012725	0.048706558775470206	0.032086265793549534	1.0	4
arnT	sense	NC_000913.3	RefSeq	CDS	2370908	2372560	.	+	0	ID=cds2240;Parent=gene2313;Dbxref=ASAP:ABE-0007464,UniProtKB/Swiss-Prot:P76473,Genbank:NP_416760.1,EcoGene:EG14093,GeneID:947297;Name=NP_416760.1;Note=4-amino-4-deoxy-L-arabinose transferase (lipid A modification);Ontology_term=GO:0006950;gbkey=CDS;gene=arnT;go_process=response to stress|0006950||;product=4-amino-4-deoxy-L-arabinose transferase;protein_id=NP_416760.1;transl_table=11	0.002681760276665531	0.016478678232847297	0.1084135508333337	0.20252755756450028	0.23785022080495302	0.4344661508422021	0.07098588439825061	0.007862147118654324	0.4926657095741683	0.4705139406804704	0.4602659549191794	0.21961523867406135	0.10079088550468987	0.0938119356087841	0.17708183976496095	0.13144276661540227	0.09527746017672244	0.11609792046057263	0.07793049404075232	0.03992957520975054	1.0	4
arnE	sense	NC_000913.3	RefSeq	CDS	2372557	2372892	.	+	0	ID=cds2241;Parent=gene2314;Dbxref=ASAP:ABE-0285065,UniProtKB/Swiss-Prot:Q47377,Genbank:YP_588462.1,EcoGene:EG14344,GeneID:1450282;Name=YP_588462.1;Ontology_term=GO:0016021;gbkey=CDS;gene=arnE;go_component=integral to membrane|0016021||;product=undecaprenyl phosphate-alpha-L-ara4N exporter%3B flippase ArnEF subunit;protein_id=YP_588462.1;transl_table=11	0.004469600461109218	0.02059834779105912	0.14783666022727324	0.09644169407833343	0.2725367113390086	0.8239875274593491	0.07808447283807564	0.019655367796635813	0.2898033585730402	0.41515935942394455	0.31826901138028363	0.2745190483425767	0.12598860688086236	0.12792536673925106	0.13980145244602182	0.26886020444059555	0.21653968221982373	0.06449884470031814	0.05682431857138191	0.035651406437277273	1.0	4
pmrD	sense	NC_000913.3	RefSeq	CDS	2373272	2373538	.	-	0	ID=cds2243;Parent=gene2316;Dbxref=ASAP:ABE-0007468,UniProtKB/Swiss-Prot:P37590,Genbank:NP_416762.2,EcoGene:EG12671,GeneID:945130;Name=NP_416762.2;Note=an active Salmonella PmrD ortholog blocks dephosphorylation of PmrA(BasR) by PmrB(BasS);Ontology_term=GO:0042493;gbkey=CDS;gene=pmrD;go_process=response to drug|0042493||;product=inactive two-component system connector protein;protein_id=NP_416762.2;transl_table=11	0.003192571757935155	0.031714916440202134	0.15252988753607552	0.22388250411041694	0.2595587727038178	0.3798903535689207	0.08991545357111742	0.015677495742554753	0.5123309374773389	0.6490983635437862	0.52461924952794	0.3599920121122433	0.2779748628006328	0.20711726043497794	0.2529740568070871	0.21195857387115727	0.19797913802955308	0.3278691272266171	0.1298841567345872	0.07113304427247226	1.0	4
menE	sense	NC_000913.3	RefSeq	CDS	2373648	2375003	.	-	0	ID=cds2244;Parent=gene2317;Dbxref=ASAP:ABE-0007471,UniProtKB/Swiss-Prot:P37353,Genbank:NP_416763.1,EcoGene:EG12437,GeneID:946741;Name=NP_416763.1;Ontology_term=GO:0009061;gbkey=CDS;gene=menE;go_process=anaerobic respiration|0009061||;product=O-succinylbenzoate-CoA ligase;protein_id=NP_416763.1;transl_table=11	0.0004940884863471074	0.010042278401536757	0.040646700799448716	0.0565856878520834	0.053091567143962716	0.07261485631599086	0.014728363769705056	0.003133827773698312	0.07208119250222303	0.08943342209812864	0.07744379397793401	0.059974726678715735	0.0460672627200432	0.03662262483181508	0.0372486863093142	0.030991066649426163	0.033512093676877484	0.03811793968258596	0.017947428120212945	0.009155378183722564	1.0	0
menC	sense	NC_000913.3	RefSeq	CDS	2375000	2375962	.	-	0	ID=cds2245;Parent=gene2318;Dbxref=ASAP:ABE-0007473,UniProtKB/Swiss-Prot:P29208,Genbank:NP_416764.1,EcoGene:EG11532,GeneID:946734;Name=NP_416764.1;Note=o-succinylbenzoyl-CoA synthase%3B conversion of chorismate to 2-o-succinylbenzoyl-CoA;Ontology_term=GO:0009061;gbkey=CDS;gene=menC;go_process=anaerobic respiration|0009061||;product=O-succinylbenzoyl-CoA synthase;protein_id=NP_416764.1;transl_table=11	0.0003020000311560282	0.006494974528712335	0.025749328207753296	0.04192172738089718	0.038391739844643315	0.052975447097099816	0.011255419508191084	0.002479055397773886	0.05711214836743472	0.05890774694528943	0.04984670587106313	0.032531363317103684	0.02761912403093979	0.021897134847259192	0.028338132252571986	0.021261217368175225	0.023409695375116082	0.02818192763932818	0.015211657995942646	0.007001807750744545	1.0	0
menB	sense	NC_000913.3	RefSeq	CDS	2375962	2376819	.	-	0	ID=cds2246;Parent=gene2319;Dbxref=ASAP:ABE-0007476,UniProtKB/Swiss-Prot:P0ABU0,Genbank:NP_416765.1,EcoGene:EG11368,GeneID:946747;Name=NP_416765.1;Note=dihydroxynaphtoic acid synthetase;Ontology_term=GO:0009061;gbkey=CDS;gene=menB;go_process=anaerobic respiration|0009061||;product=dihydroxynaphthoic acid synthetase;protein_id=NP_416765.1;transl_table=11	0.0006671045464342118	0.006148760534644514	0.02291383367472088	0.039584277420211485	0.03527246864214286	0.04945129196212564	0.010920905292038551	0.001918147259143564	0.05198826036399258	0.04687026828551995	0.041881199943179605	0.03054791141143218	0.022179395011556326	0.018358979153164624	0.024878559275698486	0.025037370741374503	0.023617990598029	0.028880079716560363	0.015657676759048975	0.009086810825574691	1.0	0
menH	sense	NC_000913.3	RefSeq	CDS	2376834	2377592	.	-	0	ID=cds2247;Parent=gene2320;Dbxref=ASAP:ABE-0007478,UniProtKB/Swiss-Prot:P37355,Genbank:NP_416766.1,EcoGene:EG12438,GeneID:946736;Name=NP_416766.1;Note=putative enzyme;gbkey=CDS;gene=menH;product=2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase;protein_id=NP_416766.1;transl_table=11	0.001532434443808875	0.012162833933768243	0.05068685493506511	0.08541978618366676	0.0736203064396283	0.08560909376201027	0.017036612255580147	0.004352260012112216	0.09108105555152693	0.14629425046367567	0.12171166589048207	0.10739426506588713	0.058794683211069086	0.05848016765222905	0.05725202338265655	0.06145376101499327	0.06558058947228948	0.045149191290222684	0.02736844731193088	0.01914989831488036	1.0	0
menD	sense	NC_000913.3	RefSeq	CDS	2377589	2379259	.	-	0	ID=cds2248;Parent=gene2321;Dbxref=ASAP:ABE-0007482,UniProtKB/Swiss-Prot:P17109,Genbank:NP_416767.1,EcoGene:EG10579,GeneID:946720;Name=NP_416767.1;Note=2-oxoglutarate decarboxylase%3B SHCHC synthase;Ontology_term=GO:0009061;gbkey=CDS;gene=menD;go_process=anaerobic respiration|0009061||;product=2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase%3B SEPHCHC synthase;protein_id=NP_416767.1;transl_table=11	0.001084854480851752	0.015332103533798047	0.06219665317005023	0.13342661559381086	0.104636777963344	0.16181573244457648	0.037905083901978484	0.005009256355938739	0.16178342832960982	0.22336648383246208	0.17708021917723024	0.17529035573779173	0.08460399976627488	0.08383458499902376	0.0904863769877164	0.1160130331998255	0.08934889800332534	0.09940962714733498	0.05792770339801069	0.0299402588041212	1.0	3
menF	sense	NC_000913.3	RefSeq	CDS	2379348	2380643	.	-	0	ID=cds2249;Parent=gene2322;Dbxref=ASAP:ABE-0007485,UniProtKB/Swiss-Prot:P38051,Genbank:NP_416768.4,EcoGene:EG12362,GeneID:946712;Name=NP_416768.4;Note=isochorismate hydroxymutase 2%2C menaquinone biosynthesis;Ontology_term=GO:0009061;gbkey=CDS;gene=menF;go_process=anaerobic respiration|0009061||;product=isochorismate synthase 2;protein_id=NP_416768.4;transl_table=11	0.002768779046704825	0.024912456030484482	0.08503878685639611	0.13868827688255916	0.08770288377763752	0.16904008004998708	0.03769162003446934	0.008044785491985895	0.16990683633153905	0.19900706757047487	0.17332553376734303	0.11399361435600527	0.09477019101657784	0.07358538794735682	0.11547022620910355	0.10045907343896393	0.09581401868133796	0.14555049025293032	0.067528267328823	0.03249641471716424	1.0	3
elaB	sense	NC_000913.3	RefSeq	CDS	2380722	2381027	.	-	0	ID=cds2250;Parent=gene2323;Dbxref=ASAP:ABE-0007487,UniProtKB/Swiss-Prot:P0AEH5,Genbank:NP_416769.1,EcoGene:EG13185,GeneID:946751;Name=NP_416769.1;gbkey=CDS;gene=elaB;product=putative membrane-anchored DUF883 family ribosome-binding protein;protein_id=NP_416769.1;transl_table=11	0.0006307903876565428	0.01384297566603435	0.07451444567906915	0.13513503504927765	0.10789576548611778	0.18424941046561685	0.034061775174967016	0.006241371830584959	0.18404850393247507	0.2538945007229768	0.2073092195715247	0.13027733993925006	0.09398343658451423	0.06791736540591957	0.07140396764716167	0.07227424850553643	0.0715977981533288	0.12483647361351892	0.06317450163753863	0.03407009405497867	1.0	3
elaA	sense	NC_000913.3	RefSeq	CDS	2381082	2381543	.	-	0	ID=cds2251;Parent=gene2324;Dbxref=ASAP:ABE-0007489,UniProtKB/Swiss-Prot:P0AEH3,Genbank:NP_416770.1,EcoGene:EG13184,GeneID:946750;Name=NP_416770.1;gbkey=CDS;gene=elaA;product=GNAT family putative N-acetyltransferase;protein_id=NP_416770.1;transl_table=11	0.00038979073788743176	0.00159677114659373	0.02005536088354482	0.05046367713401169	0.0504164106599646	0.0805696049577059	0.016921053839117874	0.003428261824994619	0.1284738726232227	0.2192459795407459	0.17649980953110542	0.13504962127765402	0.10987378507051948	0.06693769189844533	0.07586125326528315	0.06599927499187745	0.052875968914143014	0.06562382454974229	0.027845803951092464	0.013472915223389665	1.0	3
rbn	sense	NC_000913.3	RefSeq	CDS	2381608	2382525	.	+	0	ID=cds2252;Parent=gene2325;Dbxref=ASAP:ABE-0007496,UniProtKB/Swiss-Prot:P0A8V0,Genbank:NP_416771.4,EcoGene:EG14260,GeneID:946760;Name=NP_416771.4;gbkey=CDS;gene=rbn;product=RNase BN%2C tRNA processing enzyme;protein_id=NP_416771.4;transl_table=11	0.0	0.005006542865882426	0.010266434738005087	0.05776455634900179	0.05161680138996375	0.10143785849404864	0.011830980733041764	0.0033270804864097073	0.056602218471296914	0.046849580490549284	0.0739567414265082	0.03959409351094857	0.02624762643351299	0.03331389758834663	0.04368795388938181	0.08090700596591996	0.09924735435075252	0.09406081518796393	0.047353598809484934	0.02710992364501292	1.0	0
yfbM	sense	NC_000913.3	RefSeq	CDS	2386934	2387437	.	+	0	ID=cds2256;Parent=gene2329;Dbxref=ASAP:ABE-0007509,UniProtKB/Swiss-Prot:P76483,Genbank:NP_416775.1,EcoGene:EG14097,GeneID:946745;Name=NP_416775.1;gbkey=CDS;gene=yfbM;product=DUF1877 family protein;protein_id=NP_416775.1;transl_table=11	0.0008763922472763173	0.001346297241245694	0.004831263406120039	0.014182602070343154	0.024290259477630003	0.051407421499246375	0.004175640258720624	0.0014452476321055742	0.028412093977749037	0.06783649663789942	0.033603063041658915	0.037265029186775114	0.024703648408012226	0.033444540323987214	0.00913734983307332	0.011715041587825513	0.02547525673174397	0.03161708073545006	0.027059199319705667	0.012582849330803742	1.0	0
nuoN	sense	NC_000913.3	RefSeq	CDS	2390048	2391505	.	-	0	ID=cds2260;Parent=gene2333;Dbxref=ASAP:ABE-0007526,UniProtKB/Swiss-Prot:P0AFF0,Genbank:NP_416779.2,EcoGene:EG12093,GeneID:945136;Name=NP_416779.2;Note=NADH dehydrogenase I chain N;Ontology_term=GO:0009274,GO:0019866,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoN;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C membrane subunit N;protein_id=NP_416779.2;transl_table=11	0.0022333309338875783	0.023203047917169383	0.0858573634894311	0.1325201450517534	0.1089755901534856	0.13617389955323053	0.0271622516237882	0.004312938199952138	0.0997925766289479	0.09416829651627932	0.07983686321985571	0.06261472250164471	0.04183053680133825	0.03784774163883168	0.04120818618012258	0.040459640671168584	0.04555732959259934	0.060639939461837565	0.03047495623580264	0.014719975833405738	1.0	0
nuoM	sense	NC_000913.3	RefSeq	CDS	2391512	2393041	.	-	0	ID=cds2261;Parent=gene2334;Dbxref=ASAP:ABE-0007529,UniProtKB/Swiss-Prot:P0AFE8,Genbank:NP_416780.1,EcoGene:EG11773,GeneID:947731;Name=NP_416780.1;Note=NADH dehydrogenase I chain M;Ontology_term=GO:0009274,GO:0019866,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoM;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C membrane subunit M;protein_id=NP_416780.1;transl_table=11	0.0015973326238062449	0.015443132879417001	0.06042722505464501	0.09549308725133346	0.08074560091534265	0.11960713140766108	0.023274060458442814	0.003931073559327163	0.08907890120072956	0.09256011947812533	0.08588848478610428	0.0634197851908702	0.04888082562044385	0.03914656031365061	0.049350676655808785	0.045838461084953985	0.04188800410153967	0.05487688590076247	0.029011010418176237	0.014541098232122268	1.0	0
nuoL	sense	NC_000913.3	RefSeq	CDS	2393205	2395046	.	-	0	ID=cds2262;Parent=gene2335;Dbxref=ASAP:ABE-0007532,UniProtKB/Swiss-Prot:P33607,Genbank:NP_416781.1,EcoGene:EG12092,GeneID:945540;Name=NP_416781.1;Note=NADH dehydrogenase I chain L;Ontology_term=GO:0009274,GO:0019866,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoL;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C membrane subunit L;protein_id=NP_416781.1;transl_table=11	0.0014003119841726505	0.02068589389581772	0.08213147790404067	0.11110996631064823	0.07888626782920799	0.114067490140092	0.02073977387519015	0.0038129265397845416	0.08445999521254358	0.08696416454235631	0.0807155542382392	0.06277358650624702	0.04199620229362077	0.0368940796606826	0.037857588215498304	0.037872232805232615	0.039442565067363135	0.044291556378906964	0.0251961069075292	0.012844896526946158	1.0	0
nuoK	sense	NC_000913.3	RefSeq	CDS	2395043	2395345	.	-	0	ID=cds2263;Parent=gene2336;Dbxref=ASAP:ABE-0007534,UniProtKB/Swiss-Prot:P0AFE4,Genbank:NP_416782.1,EcoGene:EG12091,GeneID:947580;Name=NP_416782.1;Note=NADH dehydrogenase I chain K;Ontology_term=GO:0009274,GO:0019866,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoK;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C membrane subunit K;protein_id=NP_416782.1;transl_table=11	0.0009027031498965123	0.013942113133686304	0.045459235040773614	0.06290820110458978	0.058964870059452036	0.0924082876170171	0.017126507043682734	0.0033527851727340016	0.0897726015230351	0.09102384063061372	0.08526017352226274	0.07100425502982333	0.04447196094411807	0.0411986716027064	0.04375154625312181	0.047288609466140656	0.049406979895134456	0.05791517441704329	0.03004280099141993	0.0172808127272392	1.0	0
nuoJ	sense	NC_000913.3	RefSeq	CDS	2395342	2395896	.	-	0	ID=cds2264;Parent=gene2337;Dbxref=ASAP:ABE-0007536,UniProtKB/Swiss-Prot:P0AFE0,Genbank:NP_416783.1,EcoGene:EG12090,GeneID:946756;Name=NP_416783.1;Note=NADH dehydrogenase I chain J;Ontology_term=GO:0009274,GO:0019866,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoJ;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C membrane subunit J;protein_id=NP_416783.1;transl_table=11	0.00048633771251100635	0.004145215654688393	0.020410349721327062	0.037151547648638455	0.031307066620518555	0.05166519325625006	0.011237147723275193	0.002078336099942625	0.056328048371295535	0.061567156671329074	0.06023883602278227	0.04521333247535485	0.03110283848351697	0.02888685595024624	0.03508530659842246	0.0348120540830224	0.034202477009098155	0.04459906074398972	0.022281811724826083	0.01268884735956446	1.0	0
nuoI	sense	NC_000913.3	RefSeq	CDS	2395908	2396450	.	-	0	ID=cds2265;Parent=gene2338;Dbxref=ASAP:ABE-0007539,UniProtKB/Swiss-Prot:P0AFD6,Genbank:NP_416784.1,EcoGene:EG12089,GeneID:946757;Name=NP_416784.1;Note=NADH dehydrogenase I chain I;Ontology_term=GO:0005737,GO:0009060,GO:0009061;experiment=N-terminus verified by Edman degradation: PMID 9298646%2C11416161;gbkey=CDS;gene=nuoI;go_component=cytoplasm|0005737||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C chain I;protein_id=NP_416784.1;transl_table=11	0.0006675644071050072	0.007415152774048551	0.02842141675631555	0.04775548040873359	0.04201455819021315	0.059038210628040766	0.013440342082757005	0.00258563834181388	0.06409368856308623	0.10525256431474084	0.08877059176295382	0.0665724219326243	0.047766820163929885	0.04771725919272003	0.05107635785596845	0.048599117836994915	0.04269095756999283	0.058244590917336914	0.02958356396212307	0.016990123380264947	1.0	0
nuoH	sense	NC_000913.3	RefSeq	CDS	2396465	2397442	.	-	0	ID=cds2266;Parent=gene2339;Dbxref=ASAP:ABE-0007541,UniProtKB/Swiss-Prot:P0AFD4,Genbank:NP_416785.1,EcoGene:EG12088,GeneID:946761;Name=NP_416785.1;Note=NADH dehydrogenase I chain H;Ontology_term=GO:0009274,GO:0019866,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoH;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C membrane subunit H;protein_id=NP_416785.1;transl_table=11	0.000588212818862847	0.007191161447801669	0.029138585014027232	0.046096697133036366	0.040712268572102285	0.056547224014341924	0.01156066953003862	0.002240913117008149	0.05330188805778133	0.0624142886357511	0.05490714353494762	0.04485062977856306	0.029936974766061237	0.02525304260252077	0.030280519310644464	0.033908525144216946	0.032217748369025134	0.0439443325937554	0.025016529000013027	0.013045899412800049	1.0	0
nuoG	sense	NC_000913.3	RefSeq	CDS	2397439	2400165	.	-	0	ID=cds2267;Parent=gene2340;Dbxref=ASAP:ABE-0007543,UniProtKB/Swiss-Prot:P33602,Genbank:NP_416786.4,EcoGene:EG12087,GeneID:946762;Name=NP_416786.4;Note=NADH dehydrogenase I chain G;Ontology_term=GO:0005737,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoG;go_component=cytoplasm|0005737||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C chain G;protein_id=NP_416786.4;transl_table=11	0.0013223742521351373	0.008950237217685321	0.035469448231111624	0.05514920564857812	0.0470521041636706	0.06587052871755446	0.013153896538617428	0.0026098469579163394	0.05993533951294641	0.06560739717064254	0.05813439156637185	0.04482770817464784	0.03219670458266074	0.030610420448163717	0.037336609455011036	0.04238133923698752	0.04071919771493148	0.050200156479806135	0.027200171293128867	0.014714147784313063	1.0	0
nuoF	sense	NC_000913.3	RefSeq	CDS	2400218	2401555	.	-	0	ID=cds2268;Parent=gene2341;Dbxref=ASAP:ABE-0007545,UniProtKB/Swiss-Prot:P31979,Genbank:NP_416787.1,EcoGene:EG11774,GeneID:946753;Name=NP_416787.1;Note=NADH dehydrogenase I chain F;Ontology_term=GO:0005737,GO:0009060,GO:0009061;experiment=N-terminus verified by Edman degradation: PMID 11416161%2C11997136;gbkey=CDS;gene=nuoF;go_component=cytoplasm|0005737||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C chain F;protein_id=NP_416787.1;transl_table=11	0.0010074568420666355	0.010508154070285712	0.044689648916966994	0.06699134712610115	0.0547311995136461	0.07571095198707646	0.01564026664287642	0.002962978970109246	0.0731928227827919	0.07937220716398634	0.06971156120099126	0.05537918132720727	0.04268756396997058	0.04273157828483788	0.048170485146025885	0.054239812810937725	0.056808505835043724	0.06991284611706572	0.037846102570717736	0.020565756757031973	1.0	0
nuoE	sense	NC_000913.3	RefSeq	CDS	2401552	2402052	.	-	0	ID=cds2269;Parent=gene2342;Dbxref=ASAP:ABE-0007547,UniProtKB/Swiss-Prot:P0AFD1,Genbank:NP_416788.1,EcoGene:EG12086,GeneID:946746;Name=NP_416788.1;Note=NADH dehydrogenase I chain E;Ontology_term=GO:0005737,GO:0009060,GO:0009061;experiment=N-terminus verified by Edman degradation: PMID 11416161%2C11997136;gbkey=CDS;gene=nuoE;go_component=cytoplasm|0005737||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C chain E;protein_id=NP_416788.1;transl_table=11	0.0007376363622997537	0.009635371375857444	0.04444124475173922	0.07721907362319712	0.06911551259371639	0.0928373743575463	0.01729298376311727	0.0032333414869891745	0.08385228140143068	0.10152072637815793	0.08685561737641732	0.06853083306153958	0.05285297179627318	0.05066890590609178	0.05477740044733393	0.05814362740363059	0.059207187387192016	0.07169590488408446	0.03630173673640242	0.020649877663840323	1.0	0
nuoC	sense	NC_000913.3	RefSeq	CDS	2402055	2403845	.	-	0	ID=cds2270;Parent=gene2343;Dbxref=ASAP:ABE-0007549,UniProtKB/Swiss-Prot:P33599,Genbank:NP_416789.2,EcoGene:EG12084,GeneID:946759;Name=NP_416789.2;Note=NADH dehydrogenase I chain C%2C D;Ontology_term=GO:0005737,GO:0009060,GO:0009061;gbkey=CDS;gene=nuoC;go_component=cytoplasm|0005737||;go_process=aerobic respiration|0009060||,anaerobic respiration|0009061||;product=NADH:ubiquinone oxidoreductase%2C fused CD subunit;protein_id=NP_416789.2;transl_table=11	0.0006780370536728633	0.008180645267478541	0.035631838160561535	0.05561068784330876	0.04957407690576787	0.06739310718240415	0.014321368771300256	0.0025328240807590435	0.06313676314831762	0.06949203465794074	0.0593418282251255	0.04599362606490876	0.03364439415284535	0.03208403893969701	0.03722981875015861	0.044193116688521716	0.0463482677146406	0.06163492744588035	0.03528092924255722	0.01877117014829514	1.0	0
