Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	Grad-00L.fastq	Grad-01.fastq	Grad-02.fastq	Grad-03.fastq	Grad-04.fastq	Grad-05.fastq	Grad-06.fastq	Grad-07.fastq	Grad-08.fastq	Grad-09.fastq	Grad-10.fastq	Grad-11.fastq	Grad-12.fastq	Grad-13.fastq	Grad-14.fastq	Grad-15.fastq	Grad-16.fastq	Grad-17.fastq	Grad-18.fastq	Grad-19.fastq	Grad-20.fastq	Grad-21P.fastq	gene	Name
sense	NC_000913.3	RefSeq	CDS	2656748	2657083	.	-	0	ID=cds2506;Parent=gene2588;Dbxref=ASAP:ABE-0008311,UniProtKB/Swiss-Prot:P0A9R4,Genbank:NP_417020.1,EcoGene:EG11328,GeneID:947160;Name=NP_417020.1;Note=[2FE-2S] ferredoxin%2C electron carrer protein;Ontology_term=GO:0009055;gbkey=CDS;gene=fdx;go_function=electron carrier activity|0009055||;product=[2Fe-2S] ferredoxin;protein_id=NP_417020.1;transl_table=11	53.0	1.0	16.0	28.0	72.0	66.0	67.0	58.0	43.0	80.0	73.0	133.0	107.0	82.0	82.0	71.0	69.0	67.0	172.0	140.0	157.0	210.0	fdx	NP_417020.1
sense	NC_000913.3	RefSeq	CDS	2657085	2658935	.	-	0	ID=cds2507;Parent=gene2589;Dbxref=ASAP:ABE-0008315,UniProtKB/Swiss-Prot:P0A6Z1,Genbank:NP_417021.1,EcoGene:EG12130,GeneID:944885;Name=NP_417021.1;Note=DnaK-homologue chaperone Hsc66;Ontology_term=GO:0005737,GO:0006457;gbkey=CDS;gene=hscA;go_component=cytoplasm|0005737||;go_process=protein folding|0006457||;product=DnaK-like molecular chaperone specific for IscU;protein_id=NP_417021.1;transl_table=11	142.0	54.0	200.0	231.0	344.0	265.0	234.0	253.0	112.0	222.0	266.0	299.0	282.0	200.0	200.0	218.0	192.0	277.0	494.0	485.0	553.0	647.0	hscA	NP_417021.1
sense	NC_000913.3	RefSeq	CDS	2658952	2659467	.	-	0	ID=cds2508;Parent=gene2590;Dbxref=ASAP:ABE-0008317,UniProtKB/Swiss-Prot:P0A6L9,Genbank:NP_417022.1,EcoGene:EG12131,GeneID:946995;Name=NP_417022.1;Ontology_term=GO:0006457;gbkey=CDS;gene=hscB;go_process=protein folding|0006457||;product=HscA co-chaperone%2C J domain-containing protein Hsc56%3B IscU-specific chaperone HscAB;protein_id=NP_417022.1;transl_table=11	36.0	7.0	29.0	35.0	60.0	55.0	53.0	59.0	24.0	61.0	48.0	51.0	48.0	31.0	23.0	37.0	30.0	43.0	57.0	61.0	57.0	74.0	hscB	NP_417022.1
sense	NC_000913.3	RefSeq	CDS	2659563	2659886	.	-	0	ID=cds2509;Parent=gene2591;Dbxref=ASAP:ABE-0008319,UniProtKB/Swiss-Prot:P0AAC8,Genbank:NP_417023.1,EcoGene:EG12132,GeneID:946999;Name=NP_417023.1;Ontology_term=GO:0006457;gbkey=CDS;gene=iscA;go_process=protein folding|0006457||;product=FeS cluster assembly protein;protein_id=NP_417023.1;transl_table=11	66.0	5.0	27.0	62.0	120.0	103.0	114.0	113.0	57.0	90.0	88.0	106.0	94.0	76.0	84.0	86.0	60.0	87.0	151.0	161.0	203.0	352.0	iscA	NP_417023.1
sense	NC_000913.3	RefSeq	CDS	2659903	2660289	.	-	0	ID=cds2510;Parent=gene2592;Dbxref=ASAP:ABE-0008321,UniProtKB/Swiss-Prot:P0ACD4,Genbank:NP_417024.1,EcoGene:EG13395,GeneID:947002;Name=NP_417024.1;Ontology_term=GO:0006412;gbkey=CDS;gene=iscU;go_process=translation|0006412||;product=iron-sulfur cluster assembly scaffold protein;protein_id=NP_417024.1;transl_table=11	60.0	2.0	11.0	20.0	41.0	46.0	61.0	60.0	46.0	63.0	76.0	103.0	79.0	68.0	65.0	50.0	52.0	59.0	101.0	106.0	148.0	310.0	iscU	NP_417024.1
sense	NC_000913.3	RefSeq	CDS	2660317	2661531	.	-	0	ID=cds2511;Parent=gene2593;Dbxref=ASAP:ABE-0008324,UniProtKB/Swiss-Prot:P0A6B7,Genbank:YP_026169.1,EcoGene:EG12677,GeneID:947004;Name=YP_026169.1;Note=cysteine desulfurase~cysteine desulfurase (tRNA sulfurtransferase) PLP-dependent;Ontology_term=GO:0009451;experiment=N-terminus verified by Edman degradation: PMID 9298646;gbkey=CDS;gene=iscS;go_process=RNA modification|0009451||;product=cysteine desulfurase (tRNA sulfurtransferase)%2C PLP-dependent;protein_id=YP_026169.1;transl_table=11	105.0	16.0	40.0	58.0	92.0	92.0	81.0	102.0	58.0	99.0	153.0	154.0	150.0	126.0	116.0	116.0	83.0	105.0	208.0	246.0	294.0	748.0	iscS	YP_026169.1
sense	NC_000913.3	RefSeq	CDS	2661643	2662131	.	-	0	ID=cds2512;Parent=gene2594;Dbxref=ASAP:ABE-0008326,UniProtKB/Swiss-Prot:P0AGK8,Genbank:NP_417026.1,EcoGene:EG13397,GeneID:945279;Name=NP_417026.1;Note=Fe-S cluster-containing transcription factor~transcriptional repressor of iscRSUA operon;Ontology_term=GO:0006412;gbkey=CDS;gene=iscR;go_process=translation|0006412||;product=isc operon transcriptional repressor%3B suf operon transcriptional activator%3B oxidative stress- and iron starvation-inducible%3B autorepressor;protein_id=NP_417026.1;transl_table=11	36.0	0.0	8.0	18.0	34.0	26.0	32.0	50.0	29.0	59.0	74.0	103.0	110.0	64.0	76.0	59.0	46.0	71.0	98.0	87.0	122.0	104.0	iscR	NP_417026.1
sense	NC_000913.3	RefSeq	CDS	2662583	2663323	.	-	0	ID=cds2513;Parent=gene2595;Dbxref=ASAP:ABE-0008332,UniProtKB/Swiss-Prot:P0AE01,Genbank:NP_417027.1,EcoGene:EG13452,GeneID:948610;Name=NP_417027.1;gbkey=CDS;gene=trmJ;product=tRNA mC32%2CmU32 2'-O-methyltransferase%2C SAM-dependent;protein_id=NP_417027.1;transl_table=11	255.5	59.16666666666667	261.6666666666667	341.0	534.0	424.5	480.5	514.6666666666667	330.0	436.5	480.5	537.0	458.8333333333333	316.0	273.5	266.0	268.0	353.5	567.8333333333334	578.5	647.5	520.0	trmJ	NP_417027.1
sense	NC_000913.3	RefSeq	CDS	2663442	2664245	.	+	0	ID=cds2514;Parent=gene2596;Dbxref=ASAP:ABE-0008337,UniProtKB/Swiss-Prot:P0ADG4,Genbank:NP_417028.1,EcoGene:EG10983,GeneID:947285;Name=NP_417028.1;Note=inositol-1-monophosphatase;Ontology_term=GO:0005737,GO:0006350;gbkey=CDS;gene=suhB;go_component=cytoplasm|0005737||;go_process=transcription|0006350||;product=inositol monophosphatase;protein_id=NP_417028.1;transl_table=11	23.0	1.0	5.0	6.0	15.0	10.0	12.0	13.0	4.0	20.0	9.0	13.0	14.0	4.0	3.0	5.0	3.0	5.0	9.0	15.0	6.0	18.0	suhB	NP_417028.1
sense	NC_000913.3	RefSeq	CDS	2664390	2665244	.	+	0	ID=cds2515;Parent=gene2597;Dbxref=ASAP:ABE-0008340,UniProtKB/Swiss-Prot:P77538,Genbank:NP_417029.4,EcoGene:EG13453,GeneID:945059;Name=NP_417029.4;Note=putative enzyme (3.4.-);gbkey=CDS;gene=yfhR;product=putative S9 family prolyl oligopeptidase;protein_id=NP_417029.4;transl_table=11	80.0	0.0	1.0	3.0	3.0	2.0	5.0	2.0	2.0	0.0	5.0	6.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	yfhR	NP_417029.4
sense	NC_000913.3	RefSeq	CDS	2665435	2666715	.	+	0	ID=cds2516;Parent=gene2598;Dbxref=ASAP:ABE-0008346,UniProtKB/Swiss-Prot:P54901,Genbank:NP_417030.2,EcoGene:EG13418,GeneID:947009;Name=NP_417030.2;gbkey=CDS;gene=csiE;product=stationary phase inducible protein;protein_id=NP_417030.2;transl_table=11	59.0	15.0	35.0	32.0	106.0	95.0	101.0	102.0	61.0	122.0	155.0	203.0	179.0	123.0	99.0	107.0	100.0	106.0	178.0	203.0	262.0	316.0	csiE	NP_417030.2
sense	NC_000913.3	RefSeq	CDS	2666707	2667846	.	-	0	ID=cds2517;Parent=gene2599;Dbxref=ASAP:ABE-0008348,UniProtKB/Swiss-Prot:Q47142,Genbank:NP_417031.1,EcoGene:EG13454,GeneID:947007;Name=NP_417031.1;Note=MFS (major facilitator superfamily) transporter;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=hcaT;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=putative 3-phenylpropionic transporter;protein_id=NP_417031.1;transl_table=11	77.0	3.0	42.0	40.0	50.0	55.0	58.0	67.0	38.0	70.0	101.0	153.0	85.0	68.0	49.0	45.0	29.0	30.0	60.0	62.0	73.0	70.0	hcaT	NP_417031.1
sense	NC_000913.3	RefSeq	CDS	2668006	2668896	.	-	0	ID=cds2518;Parent=gene2600;Dbxref=ASAP:ABE-0008351,UniProtKB/Swiss-Prot:Q47141,Genbank:NP_417032.1,EcoGene:EG13455,GeneID:947000;Name=NP_417032.1;Note=transcriptional activator of hca cluster~completely contained in another CDS;Ontology_term=GO:0005737,GO:0016052,GO:0006350,GO:0016563,GO:0016564;gbkey=CDS;gene=hcaR;go_component=cytoplasm|0005737||;go_function=transcription activator activity|0016563||,transcription repressor activity|0016564||;go_process=carbohydrate catabolic process|0016052||,transcription|0006350||;product=hca operon transcriptional regulator;protein_id=NP_417032.1;transl_table=11	168.0	14.0	73.0	127.0	237.0	272.0	239.0	301.0	148.0	480.0	1039.0	1408.0	1219.0	827.0	542.0	446.0	270.0	282.0	402.0	473.0	559.0	652.0	hcaR	NP_417032.1
sense	NC_000913.3	RefSeq	CDS	2668006	2668071	.	-	0	ID=cds2519;Parent=gene2601;Dbxref=Genbank:YP_008592385.1,EcoGene:EG14501,GeneID:14678510;Name=YP_008592385.1;Note=completely contained in another CDS;gbkey=CDS;gene=iroK;product=3-hydroxypropionic acid resistance peptide;protein_id=YP_008592385.1;transl_table=11	34.0	0.0	6.0	8.0	25.0	31.0	19.0	37.0	16.0	66.0	76.0	95.0	112.0	61.0	33.0	48.0	31.0	42.0	39.0	83.0	76.0	116.0	iroK	YP_008592385.1
sense	NC_000913.3	RefSeq	CDS	2669032	2670393	.	+	0	ID=cds2520;Parent=gene2602;Dbxref=ASAP:ABE-0008355,UniProtKB/Swiss-Prot:P0ABR5,Genbank:NP_417033.1,EcoGene:EG13456,GeneID:946998;Name=NP_417033.1;Ontology_term=GO:0016052;gbkey=CDS;gene=hcaE;go_process=carbohydrate catabolic process|0016052||;product=3-phenylpropionate dioxygenase%2C large (alpha) subunit;protein_id=NP_417033.1;transl_table=11	60.0	24.0	43.0	43.0	69.0	55.0	48.0	55.0	21.0	46.0	36.0	62.0	44.0	16.0	18.0	16.0	12.0	21.0	16.0	12.0	22.0	62.0	hcaE	NP_417033.1
sense	NC_000913.3	RefSeq	CDS	2670390	2670908	.	+	0	ID=cds2521;Parent=gene2603;Dbxref=ASAP:ABE-0008357,UniProtKB/Swiss-Prot:Q47140,Genbank:NP_417034.1,EcoGene:EG13457,GeneID:946997;Name=NP_417034.1;Note=small terminal subunit of phenylpropionate dioxygenase;Ontology_term=GO:0016052;gbkey=CDS;gene=hcaF;go_process=carbohydrate catabolic process|0016052||;product=3-phenylpropionate dioxygenase%2C small (beta) subunit;protein_id=NP_417034.1;transl_table=11	12.0	2.0	5.0	1.0	1.0	8.0	7.0	14.0	5.0	6.0	12.0	15.0	14.0	14.0	6.0	4.0	10.0	7.0	11.0	5.0	10.0	31.0	hcaF	NP_417034.1
sense	NC_000913.3	RefSeq	CDS	2670908	2671228	.	+	0	ID=cds2522;Parent=gene2604;Dbxref=ASAP:ABE-0008359,UniProtKB/Swiss-Prot:P0ABW0,Genbank:NP_417035.1,EcoGene:EG13458,GeneID:947015;Name=NP_417035.1;Note=ferredoxin subunit of phenylpropionate dioxygenase;Ontology_term=GO:0016052;gbkey=CDS;gene=hcaC;go_process=carbohydrate catabolic process|0016052||;product=3-phenylpropionate dioxygenase%2C ferredoxin subunit;protein_id=NP_417035.1;transl_table=11	6.0	0.0	5.0	3.0	4.0	5.0	2.0	8.0	11.0	8.0	16.0	10.0	10.0	9.0	6.0	9.0	3.0	1.0	9.0	10.0	10.0	18.0	hcaC	NP_417035.1
sense	NC_000913.3	RefSeq	CDS	2671225	2672037	.	+	0	ID=cds2523;Parent=gene2605;Dbxref=ASAP:ABE-0008361,UniProtKB/Swiss-Prot:P0CI31,Genbank:NP_417036.1,EcoGene:EG13459,GeneID:945346;Name=NP_417036.1;Ontology_term=GO:0016052;gbkey=CDS;gene=hcaB;go_process=carbohydrate catabolic process|0016052||;product=2%2C3-dihydroxy-2%2C3-dihydrophenylpropionate dehydrogenase;protein_id=NP_417036.1;transl_table=11	16.0	1.0	10.0	9.0	15.0	16.0	15.0	18.0	18.0	12.0	22.0	22.0	12.0	9.0	16.0	15.0	7.0	18.0	24.0	22.0	24.0	43.0	hcaB	NP_417036.1
sense	NC_000913.3	RefSeq	CDS	2672047	2673249	.	+	0	ID=cds2524;Parent=gene2606;Dbxref=ASAP:ABE-0008363,UniProtKB/Swiss-Prot:P77650,Genbank:NP_417037.1,EcoGene:EG13460,GeneID:945427;Name=NP_417037.1;Note=ferredoxin reductase subunit of phenylpropionate dioxygenase;Ontology_term=GO:0016052;gbkey=CDS;gene=hcaD;go_process=carbohydrate catabolic process|0016052||;product=phenylpropionate dioxygenase%2C ferredoxin reductase subunit;protein_id=NP_417037.1;transl_table=11	32.0	4.0	7.0	14.0	22.0	20.0	16.0	18.0	13.0	17.0	30.0	34.0	29.0	12.0	13.0	15.0	17.0	26.0	24.0	22.0	29.0	60.0	hcaD	NP_417037.1
sense	NC_000913.3	RefSeq	CDS	2673346	2673768	.	+	0	ID=cds2525;Parent=gene2607;Dbxref=ASAP:ABE-0008365,UniProtKB/Swiss-Prot:P0AD47,Genbank:NP_417038.4,EcoGene:EG13462,GeneID:947365;Name=NP_417038.4;Ontology_term=GO:0009274;gbkey=CDS;gene=yphA;go_component=peptidoglycan-based cell wall|0009274||;product=DoxX family inner membrane protein;protein_id=NP_417038.4;transl_table=11	14.0	3.0	14.0	6.0	14.0	16.0	8.0	16.0	5.0	14.0	13.0	11.0	14.0	3.0	4.0	3.0	5.0	7.0	21.0	20.0	19.0	52.0	yphA	NP_417038.4
sense	NC_000913.3	RefSeq	CDS	2673816	2674688	.	-	0	ID=cds2526;Parent=gene2608;Dbxref=ASAP:ABE-0008368,UniProtKB/Swiss-Prot:P76584,Genbank:NP_417039.1,EcoGene:EG13463,GeneID:947017;Name=NP_417039.1;gbkey=CDS;gene=yphB;product=mutarotase superfamily protein%2C YphB family;protein_id=NP_417039.1;transl_table=11	42.0	3.0	12.0	15.0	24.0	28.0	24.0	24.0	9.0	27.0	40.0	33.0	23.0	22.0	24.0	15.0	15.0	22.0	30.0	46.0	42.0	146.0	yphB	NP_417039.1
sense	NC_000913.3	RefSeq	CDS	2674700	2675761	.	-	0	ID=cds2527;Parent=gene2609;Dbxref=ASAP:ABE-0008370,UniProtKB/Swiss-Prot:P77360,Genbank:NP_417040.2,EcoGene:EG13464,GeneID:947019;Name=NP_417040.2;Note=putative oxidoreductase;gbkey=CDS;gene=yphC;product=putative Zn-dependent NAD(P)-binding oxidoreductase;protein_id=NP_417040.2;transl_table=11	44.0	1.0	10.0	10.0	14.0	16.0	18.0	23.0	6.0	15.0	30.0	19.0	32.0	19.0	16.0	18.0	15.0	26.0	29.0	16.0	31.0	110.0	yphC	NP_417040.2
sense	NC_000913.3	RefSeq	CDS	2675827	2676825	.	-	0	ID=cds2528;Parent=gene2610;Dbxref=ASAP:ABE-0008373,UniProtKB/Swiss-Prot:P77315,Genbank:NP_417041.1,EcoGene:EG13465,GeneID:949063;Name=NP_417041.1;Note=putative transport system permease protein;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=yphD;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=putative sugar ABC transporter permease;protein_id=NP_417041.1;transl_table=11	86.0	2.0	8.0	10.0	14.0	9.0	19.0	13.0	7.0	20.0	14.0	21.0	14.0	9.0	14.0	10.0	6.0	9.0	11.0	14.0	13.0	30.0	yphD	NP_417041.1
sense	NC_000913.3	RefSeq	CDS	2676850	2678361	.	-	0	ID=cds2529;Parent=gene2611;Dbxref=ASAP:ABE-0008376,UniProtKB/Swiss-Prot:P77509,Genbank:NP_417042.1,EcoGene:EG13466,GeneID:948990;Name=NP_417042.1;Note=putative ATP-binding component of a transport system;Ontology_term=GO:0005737;gbkey=CDS;gene=yphE;go_component=cytoplasm|0005737||;product=putative sugar ABC transporter ATPase;protein_id=NP_417042.1;transl_table=11	104.0	2.0	7.0	9.0	17.0	25.0	22.0	14.0	15.0	27.0	25.0	37.0	21.0	20.0	12.0	10.0	8.0	9.0	15.0	18.0	20.0	78.0	yphE	NP_417042.1
sense	NC_000913.3	RefSeq	CDS	2678384	2679367	.	-	0	ID=cds2530;Parent=gene2612;Dbxref=ASAP:ABE-0008378,UniProtKB/Swiss-Prot:P77269,Genbank:NP_417043.1,EcoGene:EG13467,GeneID:947020;Name=NP_417043.1;Note=putative LACI-type transcriptional regulator;Ontology_term=GO:0042597;gbkey=CDS;gene=yphF;go_component=periplasmic space|0042597||;product=putative sugar ABC transporter periplasmic binding protein;protein_id=NP_417043.1;transl_table=11	42.0	1.0	3.0	4.0	1.0	4.0	5.0	7.0	6.0	7.0	11.0	22.0	17.0	13.0	12.0	12.0	7.0	5.0	10.0	16.0	16.0	69.0	yphF	NP_417043.1
sense	NC_000913.3	RefSeq	CDS	2679464	2682745	.	-	0	ID=cds2531;Parent=gene2613;Dbxref=ASAP:ABE-0008380,UniProtKB/Swiss-Prot:P76585,Genbank:NP_417044.4,EcoGene:EG13468,GeneID:947021;Name=NP_417044.4;gbkey=CDS;gene=yphG;product=DUF4380 domain-containing TPR repeat protein;protein_id=NP_417044.4;transl_table=11	62.0	3.0	21.0	28.0	30.0	26.0	43.0	39.0	9.0	48.0	53.0	61.0	54.0	34.0	18.0	33.0	16.0	23.0	26.0	48.0	53.0	148.0	yphG	NP_417044.4
sense	NC_000913.3	RefSeq	CDS	2682863	2684056	.	+	0	ID=cds2532;Parent=gene2614;Dbxref=ASAP:ABE-0008384,UniProtKB/Swiss-Prot:P76586,Genbank:NP_417045.4,EcoGene:EG13469,GeneID:947023;Name=NP_417045.4;Note=putative NAGC-like transcriptional regulator;Ontology_term=GO:0006355;gbkey=CDS;gene=yphH;go_process=regulation of transcription%2C DNA-dependent|0006355||;product=putative DNA-binding transcriptional regulator;protein_id=NP_417045.4;transl_table=11	47.0	3.0	19.0	21.0	37.0	32.0	34.0	42.0	6.0	30.0	37.0	41.0	47.0	25.0	16.0	16.0	13.0	22.0	42.0	41.0	50.0	43.0	yphH	NP_417045.4
sense	NC_000913.3	RefSeq	CDS	2684254	2685507	.	-	0	ID=cds2533;Parent=gene2615;Dbxref=ASAP:ABE-0008389,UniProtKB/Swiss-Prot:P0A825,Genbank:NP_417046.1,EcoGene:EG10408,GeneID:947022;Name=NP_417046.1;Ontology_term=GO:0005737,GO:0009063,GO:0006545,GO:0046656;experiment=N-terminus verified by Edman degradation: PMID 2034230%2C9119048%2C9298646%2C9740056%2C10972807;gbkey=CDS;gene=glyA;go_component=cytoplasm|0005737||;go_process=cellular amino acid catabolic process|0009063||,glycine biosynthetic process|0006545||,folic acid biosynthetic process|0046656||;product=serine hydroxymethyltransferase;protein_id=NP_417046.1;transl_table=11	736.0	192.0	828.0	1051.0	1657.0	1302.0	1221.0	1415.0	727.0	1118.0	1477.0	1735.0	1594.0	1044.0	885.0	871.0	679.0	778.0	1260.0	1416.0	1965.0	9163.0	glyA	NP_417046.1
sense	NC_000913.3	RefSeq	CDS	2685835	2687025	.	+	0	ID=cds2534;Parent=gene2616;Dbxref=ASAP:ABE-0008396,UniProtKB/Swiss-Prot:P24232,Genbank:NP_417047.1,EcoGene:EG10456,GeneID:947018;Name=NP_417047.1;Note=dihydropteridine reductase%2C ferrisiderophore reductase activity;experiment=N-terminus verified by Edman degradation: PMID 1601132%2C2034230%2C9298646%2C9724711;gbkey=CDS;gene=hmp;product=fused nitric oxide dioxygenase/dihydropteridine reductase 2;protein_id=NP_417047.1;transl_table=11	101.0	9.0	34.0	52.0	77.0	91.0	89.0	88.0	53.0	91.0	117.0	163.0	153.0	104.0	100.0	120.0	93.0	90.0	170.0	184.0	246.0	1036.0	hmp	NP_417047.1
sense	NC_000913.3	RefSeq	CDS	2687070	2687408	.	-	0	ID=cds2535;Parent=gene2617;Dbxref=ASAP:ABE-0008398,UniProtKB/Swiss-Prot:P0A9Z1,Genbank:NP_417048.1,EcoGene:EG10384,GeneID:947016;Name=NP_417048.1;Ontology_term=GO:0005737,GO:0006542,GO:0006350;experiment=N-terminus verified by Edman degradation: PMID 8293810;gbkey=CDS;gene=glnB;go_component=cytoplasm|0005737||;go_process=glutamine biosynthetic process|0006542||,transcription|0006350||;product=regulatory protein P-II for glutamine synthetase;protein_id=NP_417048.1;transl_table=11	72.0	50.0	119.0	96.0	126.0	88.0	104.0	105.0	45.0	91.0	89.0	118.0	114.0	112.0	93.0	151.0	140.0	218.0	390.0	369.0	466.0	568.0	glnB	NP_417048.1
sense	NC_000913.3	RefSeq	CDS	2687469	2688803	.	-	0	ID=cds2536;Parent=gene2618;Dbxref=ASAP:ABE-0008400,UniProtKB/Swiss-Prot:P0AFU4,Genbank:NP_417049.1,EcoGene:EG11285,GeneID:947042;Name=NP_417049.1;Note=putative 2-component transcriptional regulator;Ontology_term=GO:0006464;gbkey=CDS;gene=glrR;go_process=protein modification process|0006464||;product=response regulator regulating glmY sRNA in two-component system with sensor protein GlrK;protein_id=NP_417049.1;transl_table=11	53.0	23.0	62.0	47.0	66.0	68.0	68.0	68.0	41.0	70.0	84.0	103.0	74.0	73.0	65.0	68.0	53.0	59.0	120.0	107.0	118.0	141.0	glrR	NP_417049.1
sense	NC_000913.3	RefSeq	CDS	2688793	2689506	.	-	0	ID=cds2537;Parent=gene2619;Dbxref=ASAP:ABE-0008405,UniProtKB/Swiss-Prot:P0AD44,Genbank:NP_417050.1,EcoGene:EG12139,GeneID:947010;Name=NP_417050.1;Note=putative alpha helix protein;gbkey=CDS;gene=yfhG;product=putative outer membrane protein modulating the QseEF response;protein_id=NP_417050.1;transl_table=11	32.0	7.0	13.0	20.0	22.0	38.0	20.0	30.0	22.0	29.0	36.0	38.0	41.0	33.0	33.0	34.0	23.0	23.0	57.0	38.0	48.0	49.0	yfhG	NP_417050.1
sense	NC_000913.3	RefSeq	CDS	2689671	2691098	.	-	0	ID=cds2538;Parent=gene2620;Dbxref=ASAP:ABE-0008409,UniProtKB/Swiss-Prot:P52101,Genbank:NP_417051.2,EcoGene:EG13461,GeneID:947013;Name=NP_417051.2;Note=putative 2-component sensor protein;Ontology_term=GO:0006464;gbkey=CDS;gene=glrK;go_process=protein modification process|0006464||;product=sensor protein kinase regulating glmY sRNA in two-component system with response regulator GlrR;protein_id=NP_417051.2;transl_table=11	46.0	7.0	38.0	39.0	51.0	68.0	55.0	67.0	39.0	64.0	91.0	91.0	85.0	46.0	44.0	51.0	26.0	42.0	75.0	82.0	67.0	63.0	glrK	NP_417051.2
sense	NC_000913.3	RefSeq	ncRNA	2691157	2691340	.	-	.	ID=rna81;Parent=gene2621;Dbxref=ASAP:ABE-0047261,EcoGene:EG31155,GeneID:2847700;Note=identified in a large scale screen;gbkey=ncRNA;gene=glmY;product=sRNA activator of glmS mRNA%2C glmZ processing antagonist	124.0	2.0	45.0	559.0	1089.0	732.0	598.0	504.0	134.0	109.0	77.0	96.0	89.0	31.0	30.0	25.0	10.0	8.0	21.0	2.0	16.0	22.0	glmY	
sense	NC_000913.3	RefSeq	CDS	2691656	2695543	.	-	0	ID=cds2539;Parent=gene2622;Dbxref=ASAP:ABE-0008412,UniProtKB/Swiss-Prot:P15254,Genbank:YP_026170.1,EcoGene:EG10797,GeneID:947032;Name=YP_026170.1;Note=phosphoribosylformyl-glycineamide synthetase %3D FGAM synthetase;Ontology_term=GO:0005737,GO:0006164;experiment=N-terminus verified by Edman degradation: PMID 2659070;gbkey=CDS;gene=purL;go_component=cytoplasm|0005737||;go_process=purine nucleotide biosynthetic process|0006164||;product=phosphoribosylformyl-glycineamide synthetase;protein_id=YP_026170.1;transl_table=11	100.0	17.0	35.0	48.0	93.0	65.0	68.0	72.0	38.0	62.0	64.0	96.0	57.0	54.0	46.0	39.0	36.0	45.0	65.0	75.0	74.0	202.0	purL	YP_026170.1
sense	NC_000913.3	RefSeq	CDS	2695801	2697357	.	+	0	ID=cds2540;Parent=gene2623;Dbxref=ASAP:ABE-0008417,UniProtKB/Swiss-Prot:P0AGC5,Genbank:NP_417053.2,EcoGene:EG11373,GeneID:947028;Name=NP_417053.2;Note=putative periplasmic binding transport protein;Ontology_term=GO:0042597;gbkey=CDS;gene=mltF;go_component=periplasmic space|0042597||;product=membrane-bound lytic transglycosylase F%2C murein hydrolase;protein_id=NP_417053.2;transl_table=11	33.0	1.0	9.0	7.0	13.0	19.0	23.0	29.0	6.0	11.0	14.0	18.0	15.0	5.0	5.0	8.0	3.0	1.0	7.0	10.0	9.0	3.0	mltF	NP_417053.2
sense	NC_000913.3	RefSeq	CDS	2697354	2697857	.	-	0	ID=cds2541;Parent=gene2624;Dbxref=ASAP:ABE-0008419,UniProtKB/Swiss-Prot:P68398,Genbank:NP_417054.2,EcoGene:EG11372,GeneID:947027;Name=NP_417054.2;Ontology_term=GO:0009451;gbkey=CDS;gene=tadA;go_process=RNA modification|0009451||;product=tRNA-specific adenosine deaminase;protein_id=NP_417054.2;transl_table=11	45.0	8.0	21.0	28.0	43.0	41.0	60.0	56.0	38.0	44.0	41.0	55.0	34.0	21.0	22.0	26.0	12.0	30.0	47.0	30.0	39.0	46.0	tadA	NP_417054.2
sense	NC_000913.3	RefSeq	CDS	2697915	2698550	.	-	0	ID=cds2542;Parent=gene2625;Dbxref=ASAP:ABE-0008421,UniProtKB/Swiss-Prot:P0AD42,Genbank:NP_417055.4,EcoGene:EG11371,GeneID:947026;Name=NP_417055.4;gbkey=CDS;gene=pgpC;product=phosphatidylglycerophosphatase C%2C membrane bound;protein_id=NP_417055.4;transl_table=11	64.0	3.0	13.0	30.0	71.0	71.0	64.0	92.0	52.0	100.0	122.0	149.0	105.0	71.0	54.0	64.0	62.0	107.0	176.0	192.0	235.0	202.0	pgpC	NP_417055.4
sense	NC_000913.3	RefSeq	CDS	2698759	2699607	.	+	0	ID=cds2543;Parent=gene2626;Dbxref=ASAP:ABE-0008428,UniProtKB/Swiss-Prot:P37767,Genbank:NP_417056.2,EcoGene:EG12308,GeneID:947030;Name=NP_417056.2;Ontology_term=GO:0009274,GO:0019866;gbkey=CDS;gene=yfhH;go_component=peptidoglycan-based cell wall|0009274||,organelle inner membrane|0019866||;product=putative DNA-binding transcriptional regulator;protein_id=NP_417056.2;transl_table=11	27.0	3.0	8.0	21.0	27.0	18.0	18.0	19.0	6.0	12.0	14.0	14.0	19.0	9.0	3.0	9.0	10.0	13.0	24.0	26.0	20.0	26.0	yfhH	NP_417056.2
